,wind_code,delist_date
613,600821.SH,1899-12-30
614,688367.SH,1899-12-30
615,688601.SH,1899-12-30
616,301019.SZ,1899-12-30
617,301012.SZ,1899-12-30
618,002716.SZ,1899-12-30
619,601528.SH,1899-12-30
620,301004.SZ,1899-12-30
621,688276.SH,1899-12-30
622,001208.SZ,1899-12-30
623,000410.SZ,1899-12-30
624,301010.SZ,1899-12-30
625,600821.SH,1899-12-30
626,300984.SZ,1899-12-30
627,002535.SZ,1899-12-30
628,600008.SH,1899-12-30
629,688690.SH,1899-12-30
630,001207.SZ,1899-12-30
631,301011.SZ,1899-12-30
632,688216.SH,1899-12-30
633,000410.SZ,1899-12-30
634,301009.SZ,1899-12-30
635,002535.SZ,1899-12-30
636,688425.SH,1899-12-30
637,301012.SZ,1899-12-30
638,000806.SZ,1899-12-30
639,301007.SZ,1899-12-30
640,002529.SZ,1899-12-30
641,600193.SH,1899-12-30
642,000017.SZ,1899-12-30
643,002513.SZ,1899-12-30
644,688621.SH,1899-12-30
645,000780.SZ,1899-12-30
646,600008.SH,1899-12-30
647,300984.SZ,1899-12-30
648,601665.SH,1899-12-30
649,688517.SH,1899-12-30
650,301010.SZ,1899-12-30
651,000971.SZ,1899-12-30
652,301008.SZ,1899-12-30
653,301009.SZ,1899-12-30
654,301011.SZ,1899-12-30
655,688597.SH,1899-12-30
656,600696.SH,1899-12-30
657,600421.SH,1899-12-30
658,688067.SH,1899-12-30
659,688681.SH,1899-12-30
660,301007.SZ,1899-12-30
661,002496.SZ,1899-12-30
662,600850.SH,1899-12-30
663,600696.SH,1899-12-30
664,002122.SZ,1899-12-30
665,603529.SH,1899-12-30
666,605259.SH,1899-12-30
667,688700.SH,1899-12-30
668,600421.SH,1899-12-30
669,002122.SZ,1899-12-30
670,688345.SH,1899-12-30
671,301008.SZ,1899-12-30
672,000422.SZ,1899-12-30
673,301002.SZ,1899-12-30
674,301006.SZ,1899-12-30
675,000638.SZ,1899-12-30
676,002445.SZ,1899-12-30
677,000760.SZ,1899-12-30
678,600850.SH,1899-12-30
679,002359.SZ,1899-12-30
680,000638.SZ,1899-12-30
681,002076.SZ,1899-12-30
682,600905.SH,1899-12-30
683,002076.SZ,1899-12-30
684,002418.SZ,1899-12-30
685,300996.SZ,1899-12-30
686,601156.SH,1899-12-30
687,688269.SH,1899-12-30
688,600115.SH,1899-12-30
689,688131.SH,1899-12-30
690,002052.SZ,1899-12-30
691,300998.SZ,1899-12-30
692,000571.SZ,1899-12-30
693,000982.SZ,1899-12-30
694,300997.SZ,1899-12-30
695,688319.SH,1899-12-30
696,301002.SZ,1899-12-30
