wind_code,,trading_date,wind_code,open_price,high_price,low_price,close_price,volume,vwap,turn,free_turn,is_st,trade_status,susp_days,susp_reason,max_up_or_down,close_adj,return1,return5,return_bn
000975.SZ,616,2013-08-20,000975.SZ,8.78,8.82,8.53,8.68,5535185.0,8.674927613078879,0.8885786903088699,1.3858132977904003,0.0,交易,,,0.0,39.70296232,-0.010262257696693089,0.003456221198156806,-0.6130024477857571
000975.SZ,617,2013-08-21,000975.SZ,8.69,8.8,8.55,8.7,4127085.0,8.698923501696719,0.6625324689406736,1.0332751794404875,0.0,交易,,,0.0,39.79444379999999,0.0023041474654375005,0.05057471264367841,0.4810754322284563
000975.SZ,618,2013-08-22,000975.SZ,8.62,8.69,8.56,8.57,4575100.0,8.617372582020064,0.7344535667790889,1.1454421882413797,0.0,交易,,,0.0,39.19981418,-0.014942528735631955,0.03617269544924162,0.24978373493886144
000975.SZ,619,2013-08-23,000975.SZ,8.58,8.7,8.42,8.6,3866491.0000000005,8.590154690648445,0.6206985871061281,0.9680317177450988,0.0,交易,,,0.0,39.337036399999995,0.003500583430571691,0.051162790697674376,0.49877394603094627
000975.SZ,620,2013-08-26,000975.SZ,8.66,8.8,8.57,8.72,5283992.0,8.710030370977094,0.8482539772315734,1.322923511864209,0.0,交易,,,0.0,39.88592528,0.013953488372093092,0.03440366972477027,0.5689507415350619
000975.SZ,621,2013-08-27,000975.SZ,8.71,8.83,8.69,8.71,5119928.0,8.737561309455915,0.8219163255999054,1.2818477261608074,0.0,交易,,,0.0,39.84018454,-0.0011467889908256534,0.03214695752009167,0.5190636005481272
000975.SZ,622,2013-08-28,000975.SZ,8.71,9.33,8.66,9.14,15333140.0,9.026000675660693,2.4614717411473235,3.838872469281858,0.0,交易,,,0.0,41.80703636,0.04936854190585516,-0.01969365426695835,-0.4957326563278223
000975.SZ,623,2013-08-29,000975.SZ,9.06,9.06,8.81,8.88,7652375.999999999,8.902238337478453,1.2284572681547279,1.9158825622796911,0.0,交易,,,0.0,40.61777712,-0.02844638949671774,-0.013513513513513709,-0.42700274320660814
000975.SZ,624,2013-08-30,000975.SZ,8.88,9.26,8.88,9.04,12463185.0,9.082239660247362,2.000749858293292,3.1203378940038773,0.0,交易,,,0.0,41.34962895999999,0.018018018018017834,-0.03207964601769908,-1.0018162373217443
000975.SZ,625,2013-09-02,000975.SZ,9.0,9.18,8.95,9.02,6005249.0,9.03969039418682,0.9640393756303812,1.5035005913519608,0.0,交易,,,0.0,41.25814747999999,-0.0022123893805309214,-0.018847006651884657,-0.9403900919629983
000975.SZ,626,2013-09-03,000975.SZ,9.02,9.14,8.95,8.99,5919826.0,9.02619522938681,0.950326183124213,1.4821137128037014,0.0,交易,,,0.0,41.12092526,-0.003325942350332345,0.006674082313681717,-0.35320812561973114
